"Year_ID","SC_Commodity_Desc","Production","Demand","Predicted_Demand"
1960,"Barley","69994.005","76301","7304693.829214193"
1961,"Corn","119994.803","140448","177985888.24690476"
1962,"Barley","78256.726","81734","7309540.312236491"
1963,"Sorghum","29435.394","32724","20242391.710735507"
1965,"Sorghum","29957.698","36805","20242304.1078859"
1967,"Barley","97254.745","101973","7310974.567464803"
1969,"Barley","109098.055","118044","8432089.101587443"
1971,"Barley","121807.423","135194","8434073.121460628"
1974,"Corn","185061.402","251065","178833118.57578146"
1974,"Sorghum","45132.711","51763","43331753.1988673"
1975,"Barley","128074.162","147576.06376337167","10268068.34588576"
1975,"Oats","638.96","9280.919756774629","693892.0002996575"
1976,"Barley","158222.007","171077.83793672928","16248348.96105727"
1977,"Barley","148177.784","166030.81107550403","10512314.072795993"
1978,"Sorghum","45787.27","70836.27075442771","43333599.40238914"
1980,"Oats","458.792","7713.6644677554705","939005.883694584"
1982,"Oats","592.63","7898.21985175871","697993.6068236179"
1988,"Corn","280084.681","506450.71556063567","218394448.64916348"
1991,"Corn","310317.765","1128288034.0844507","2209597321.415738"
1992,"Corn","304403.698","3423595350.219385","2209597321.415738"
1992,"Oats","294.229","15106000.026022138","58219336.58742935"
1992,"Sorghum","44374.022","582172423.6555271","301010097.63414246"
1995,"Oats","161.094","8535179.290626232","67909940.53639397"
1996,"Barley","144985.433","99337993.33224411","153599828.7595106"
2001,"Corn","369777.58","3964545112.940199","3819714325.8203773"
2003,"Corn","381390.292","3932730341.019027","3823711703.4395423"
2004,"Corn","428833.581","4102284353.7505736","3847317751.020471"
2005,"Corn","428745.187","4404205125.858934","3847317751.020471"
2006,"Barley","133559.165","72523846.45312971","96923982.77743246"
2009,"Barley","146089.603","65505636.91944369","93606098.50290848"
2010,"Oats","81.856","9911786.067924947","16054928.552893171"
2014,"Corn","713988.292","4122406601.1705785","4089599725.23495"
2016,"Barley","142966.914","62291467.80683449","133132599.17042737"
2018,"Barley","134868.269","66223853.76134023","99081530.82192215"
2019,"Corn","796869.306","3678742505.671974","4296188110.016235"
2023,"Corn","855739.52","4375607691.236833","3876435154.785936"
