"Year","Grain","Region","Avg_Production","High_Count","Low_Count"
1874,"Oats","United States","272.501","0","1"
2008,"Oats","United States","90.051","0","1"
1967,"Corn","United States","4860.372","1","0"
1877,"Oats","United States","435.33","0","0"
2007,"Corn","United States","13037.875","1","0"
1888,"Corn","United States","2250.632","1","0"
2020,"Barley","United States","170.71","0","1"
2005,"Barley","United States","211.896","0","1"
1993,"Sorghum","United States","534.172","0","0"
1942,"Barley","United States","429.45","0","0"
1932,"Oats","United States","1254.584","1","0"
1903,"Barley","United States","149.335","0","1"
1936,"Corn","United States","1258.673","1","0"
1988,"Sorghum","United States","576.686","0","0"
2001,"Corn","United States","9502.58","1","0"
1964,"Corn","United States","3484.253","1","0"
2017,"Sorghum","United States","361.871","0","0"
1907,"Corn","United States","2613.797","1","0"
2016,"Oats","United States","64.628","0","1"
2000,"Oats","United States","149.165","0","1"
1900,"Corn","United States","2661.978","1","0"
1947,"Barley","United States","281.868","0","1"
1998,"Sorghum","United States","519.933","0","0"
1890,"Corn","United States","1650.446","1","0"
1967,"Sorghum","United States","755.344","0","0"
1991,"Oats","United States","243.851","0","1"
1962,"Sorghum","United States","510.284","0","0"
1920,"Oats","United States","1444.291","1","0"
1971,"Sorghum","United States","867.997","0","0"
1972,"Barley","United States","421.719","0","0"
2010,"Sorghum","United States","345.464","0","0"
1891,"Corn","United States","2335.804","1","0"
2005,"Sorghum","United States","392.739","0","0"
1946,"Oats","United States","1477.573","1","0"
2015,"Sorghum","United States","596.751","0","0"
1916,"Corn","United States","2425.206","1","0"
1909,"Barley","United States","173.069","0","1"
2009,"Sorghum","United States","381.605","0","0"
1956,"Barley","United States","376.661","0","0"
1913,"Barley","United States","158.82","0","1"
2006,"Corn","United States","10531.123","1","0"
2009,"Corn","United States","13067.156","1","0"
2022,"Sorghum","United States","187.785","0","1"
1895,"Oats","United States","924.858","0","0"
1994,"Sorghum","United States","645.741","0","0"
1882,"Oats","United States","540.462","0","0"
1882,"Barley","United States","60.072","0","1"
1988,"Oats","United States","217.375","0","1"
1989,"Corn","United States","7531.953","1","0"
1969,"Barley","United States","427.055","0","0"
1942,"Oats","United States","1342.681","1","0"
1914,"Corn","United States","2523.75","1","0"
1871,"Barley","United States","27.69","0","1"
1937,"Corn","United States","2349.425","1","0"
1908,"Corn","United States","2566.742","1","0"
1994,"Oats","United States","228.844","0","1"
2003,"Sorghum","United States","411.219","0","0"
2014,"Sorghum","United States","432.575","0","0"
1922,"Corn","United States","2229.496","1","0"
